----------------------------------------------------------
-------------------Start of evolution---------------------
----------------------------------------------------------
Description:
    Function: parabaloid
    Dim size: 2
    Obj Size: 1
Variables:
    Mutation: mutGaussian
    Selection: selTournament
    Mean: 0
    Std Dev: 0.5
    Indpb Mutation: 0.05
    Population Size: 200
    Generations: 400
    CXPB, MUTPB: 0.5, 0.2
    Selection tournsize: 3
[[ 0.27423184  0.25086344]],(-0.13813557114805772,)
[[ 0.27423184  0.25086344]],(-0.13813557114805772,)
[[ 0.03566997  0.09894443]],(-0.011062346529817874,)
[[ 0.53750148  0.09894443]],(-0.29869784268987198,)
[[ 0.82327785  0.27607042]],(-0.75400130110613683,)
[[ 0.51493585  0.27607042]],(-0.34137380993385619,)
[[ 0.6232828   0.42473602]],(-0.56888214283565963,)
[[ 0.4349807   0.42473602]],(-0.36960889587293855,)
[[ 0.43637804  0.45410224]],(-0.3966346320142774,)
[[ 0.49297851  0.45410224]],(-0.44923664737837521,)
[[ 0.25045343  0.2750311 ]],(-0.13836902684967062,)
[[ 0.30377789  0.2750311 ]],(-0.16792311230037887,)
[[ 0.30377789  0.05040274]],(-0.094821442718152613,)
[[ 0.00715383  0.05040274]],(-0.0025916135000207874,)
[[ 0.38748181  0.10754077]],(-0.1617071735081981,)
[[ 0.07826414  0.10754077]],(-0.017690292779480605,)
[[ 0.46155045  0.02352601]],(-0.213582293013622,)
[[ 0.44261404  0.02352601]],(-0.19646066160256784,)
[[ 0.15133761  0.09696807]],(-0.032305877438407044,)
[[ 0.24138248  0.09696807]],(-0.067668307140525186,)
[[ 0.22444174  0.14020529]],(-0.070031617970174029,)
[[ 0.28075321 -0.42874459]],(-0.26264428765848868,)
[[ 0.44261404  0.17988495]],(-0.22826578206659351,)
[[ 0.27307651  0.17988495]],(-0.10692937116143136,)
[[-0.17226001  0.33756847]],(-0.14362598646492342,)
[[ 0.39652549  0.70831104]],(-0.65893699141859474,)
[[ 0.72711837  0.19017038]],(-0.56486589176568458,)
[[ 0.43541998  0.19017038]],(-0.22575533218806609,)
[[ 0.2855638   0.04560194]],(-0.083626218954130874,)
[[ 0.00909103  0.40200887]],(-0.16169377774442614,)
[[ 0.44639698  0.05040274]],(-0.20181070222141223,)
[[ 0.00715383  0.05040274]],(-0.0025916135000207874,)
[[ 0.58207508  0.09894443]],(-0.34860140176683491,)
[[ 0.53750148  0.09894443]],(-0.29869784268987198,)
[[ 0.91655511  0.0152294 ]],(-0.84030520548209486,)
[[ 0.10394851  0.2750311 ]],(-0.086447398428341482,)
[[ 0.30377789  0.2750311 ]],(-0.16792311230037887,)
[[ 0.36918651  0.2020385 ]],(-0.17711823102389462,)
[[ 0.46532551  0.02352601]],(-0.21708129937173587,)
[[ 0.44261404  0.02352601]],(-0.19646066160256784,)
[[ 0.14570269  0.23790193]],(-0.077826600796808032,)
[[ 0.25392013  0.37347596]],(-0.203959726792937,)
[[ 0.60239895  0.63467444]],(-0.76569614713092649,)
[[ 0.02257544  0.63467444]],(-0.40332129790165477,)
[[ 0.13857098  0.2750311 ]],(-0.094844021823585117,)
[[ 0.30377789  0.2750311 ]],(-0.16792311230037887,)
[[ 0.07940994  0.23410474]],(-0.06111096741242112,)
[[ 0.34954109  0.23410474]],(-0.17698400532197364,)
[[ 0.16302303  0.57889709]],(-0.36169834624452435,)
[[ 0.41507991  0.57889709]],(-0.50741317384269258,)
[[ 0.42642857  0.0033727 ]],(-0.18185270190286956,)
[[ 0.08622013  0.0033727 ]],(-0.0074452862198382099,)
[[ 0.21644443  0.40484548]],(-0.2107480580283575,)
[[ 0.24138248  0.63467444]],(-0.46107714797933719,)
[[ 0.02257544  0.63467444]],(-0.40332129790165477,)
[[ 0.32115846  0.48727334]],(-0.34057806426582832,)
[[ 0.13857098  0.48727334]],(-0.25663722085612339,)
[[ 0.22444174  0.30602276]],(-0.14402402547829571,)
[[ 0.35253791  0.30602276]],(-0.21793291044795104,)
[[ 0.60628947  0.24169406]],(-0.42600293960087154,)
[[ 0.04101832  0.24169406]],(-0.060098519870554305,)
[[ 0.13094546  0.24507316]],(-0.077207568623555697,)
[[ 0.12625945  0.05867174]],(-0.019383821634972154,)
[[ 0.42994695  0.05867174]],(-0.18829675330492557,)
[[ 0.43216845  0.05771654]],(-0.19010076958657721,)
[[ 0.03940692  0.16765094]],(-0.029659742080395991,)
[[ 0.58207508  0.16765094]],(-0.36691823885074298,)
[[ 0.51493585  0.16117594]],(-0.29113661805638996,)
[[ 0.52628758  0.16117594]],(-0.30295630342745861,)
[[ 0.27423184  0.31250168]],(-0.17286040317934098,)
[[ 0.52046829  0.31250168]],(-0.36854454190343616,)
[[ 0.7039464   0.18142322]],(-0.52845492353880408,)
[[ 0.38748181  0.12008321]],(-0.16456213315297694,)
[[ 0.71426329  0.12008321]],(-0.52459202658356929,)
[[ 0.19429862  0.00642282]],(-0.037793206340909102,)
[[ 0.78061728  0.00642282]],(-0.6094045912437257,)
[[ 0.00715383  0.05040274]],(-0.0025916135000207874,)
[[ 0.08622013  0.33756847]],(-0.12138638514114002,)
[[ 0.06260926  0.33756847]],(-0.11787239309564493,)
[[ 0.47239461  0.22485718]],(-0.27371742469883426,)
[[ 0.15133761  0.22485718]],(-0.073463824111032888,)
[[ 0.60143488  0.45746174]],(-0.57099515700656789,)
[[ 0.35804052  0.45746174]],(-0.33746425778094868,)
[[ 0.24138248  0.09696807]],(-0.067668307140525186,)
[[ 0.1424512   0.24635874]],(-0.080984975364366288,)
[[ 0.23151809  0.24635874]],(-0.1142932541648058,)
[[ 0.37909853  0.27607042]],(-0.21993056901091862,)
[[ 0.51493585  0.27607042]],(-0.34137380993385619,)
[[ 0.1424512   0.43809588]],(-0.21222034634535777,)
[[ 0.13094546  0.24507316]],(-0.077207568623555697,)
[[ 0.1424512   0.43809588]],(-0.21222034634535777,)
[[ 0.25392013  0.27398921]],(-0.13954551846171642,)
[[ 0.46893348  0.27398921]],(-0.29496869329901743,)
[[ 0.4349807   0.24635874]],(-0.24990083697364249,)
[[ 0.23151809  0.24635874]],(-0.1142932541648058,)
[[ 0.6195008   0.57517787]],(-0.71461082048583124,)
[[ 0.56901359  0.57517787]],(-0.65460604780913445,)
[[ 0.35253791  0.30602276]],(-0.21793291044795104,)
[[ 0.03940692  0.05040274]],(-0.004093341413362532,)
[[ 0.00715383  0.05040274]],(-0.0025916135000207874,)
[[ 0.24138248  0.10155764]],(-0.068579453769953697,)
[[ 0.32556019  0.10155764]],(-0.11630339084914391,)
[[ 0.2855638   0.04560194]],(-0.083626218954130874,)
[[ 0.86281807  0.39830987]],(-0.90310578297584365,)
[[ 0.22444174  0.39830987]],(-0.20902484707427654,)
  Min -1.1555488529
  Max -0.00259161350002
  Avg -0.266186378796
  Std 0.214473288575
-- Generation 2 --
[[ 0.47385315  0.06946701]],(-0.22936247201670568,)
[[ 0.42994695  0.37678955]],(-0.3268247476001514,)
[[ 0.03566997  0.37678955]],(-0.14324271355930138,)
[[ 0.00715383  0.23410474]],(-0.054856205858659773,)
[[ 0.34954109  0.23410474]],(-0.17698400532197364,)
[[ 0.04707386  0.02352601]],(-0.0027694213739722457,)
[[ 0.44261404  0.02352601]],(-0.19646066160256784,)
[[ 0.12625945  0.23410474]],(-0.070746477676228076,)
[[ 0.07940994  0.23410474]],(-0.06111096741242112,)
[[ 0.08622013  0.0033727 ]],(-0.0074452862198382099,)
[[ 0.23151809  0.24635874]],(-0.1142932541648058,)
[[ 0.1424512   0.24635874]],(-0.080984975364366288,)
[[ 0.12625945  0.36354572]],(-0.14810693838450617,)
[[ 0.08622013  0.02263275]],(-0.0079461523551364616,)
[[ 0.04707386  0.02263275]],(-0.0027281895500630422,)
[[ 0.13857098  0.08989381]],(-0.027282813120028289,)
[[ 0.38748181  0.08989381]],(-0.15822305340764051,)
[[ 0.19429862  0.05867174]],(-0.041194326254847188,)
[[ 0.12625945  0.05867174]],(-0.019383821634972154,)
[[ 0.11061151  0.27398921]],(-0.087304992164548068,)
[[ 0.25392013  0.27398921]],(-0.13954551846171642,)
[[ 0.24138248  0.01798798]],(-0.058589068000705603,)
[[ 0.37582037  0.01798798]],(-0.14156451615830179,)
[[ 0.24138248  0.09696807]],(-0.067668307140525186,)
